"Related Search Terms","Termini di ricerca correlate"
"Add New Search Term","Aggiungi nuovo termine di ricerca"
"Enable Search Recommendations","Attiva i suggerimenti di ricerca"
"When you enable this option your site may slow down.","Quando attiverai questa opzione il sito potrebbe subire un rallentamento."
"Search Recommendations Count","Conto suggerimenti di ricerca"
"Show Results Count for Each Recommendation","Mostra conteggio risultati per ogni suggerimento"
"Enable Search Suggestions","Attiva i suggerimenti di ricerca"
"Search Suggestions Count","Conteggio suggerimenti di ricerca"
"Show Results Count for Each Suggestion","Mostra conteggio risultati per ogni suggerimento"
"ID","ID"
"Search Query","Query di ricerca"
"Store","Negozio"
"Results","Risultati"
"Uses","Utilizzi"
"Synonym","Sinonimo"
"Redirect URL","URL di Reindirizzamento"
"Suggested Term","Termini suggeriti"
"Yes","SÃ¬"
"No","No"
"Action","Azione"
"Edit","Modifica"
